2009-10-29	22.580,00
2009-10-28	22.440,00
2009-10-27	22.490,00
2009-10-26	22.575,00
2009-10-25	kein Nachweis
2009-10-24	kein Nachweis
2009-10-23	22.690,00
2009-10-22	22.680,00
2009-10-21	22.690,00
2009-10-20	22.870,00
2009-10-19	22.740,00
2009-10-18	kein Nachweis
2009-10-17	kein Nachweis
2009-10-16	22.620,00
2009-10-15	22.745,00
2009-10-14	22.995,00
2009-10-13	23.130,00
2009-10-12	23.000,00
2009-10-11	kein Nachweis
2009-10-10	kein Nachweis
2009-10-09	22.875,00
2009-10-08	22.970,00
2009-10-07	22.870,00
2009-10-06	22.395,00
2009-10-05	22.080,00
2009-10-04	kein Nachweis
2009-10-03	kein Nachweis
2009-10-02	22.065,00
2009-10-01	22.205,00
2009-09-30	21.990,00
2009-09-29	21.875,00
2009-09-28	21.780,00
2009-09-27	kein Nachweis
2009-09-26	kein Nachweis
2009-09-25	21.830,00
2009-09-24	22.080,00
2009-09-23	22.080,00
2009-09-22	22.100,00
2009-09-21	21.950,00
2009-09-20	kein Nachweis
2009-09-19	kein Nachweis
2009-09-18	22.175,00
2009-09-17	22.230,00
2009-09-16	22.310,00
2009-09-15	22.000,00
2009-09-14	22.040,00
2009-09-13	kein Nachweis
2009-09-12	kein Nachweis
2009-09-11	22.090,00
2009-09-10	21.770,00
2009-09-09	22.070,00
2009-09-08	22.330,00
2009-09-07	22.265,00
2009-09-06	kein Nachweis
2009-09-05	kein Nachweis
2009-09-04	22.290,00
2009-09-03	22.110,00
2009-09-02	21.610,00
2009-09-01	21.360,00
2009-08-31	21.505,00
2009-08-30	kein Nachweis
2009-08-29	kein Nachweis
2009-08-28	21.335,00
2009-08-27	21.310,00
2009-08-26	21.330,00
2009-08-25	21.300,00
2009-08-24	21.430,00
2009-08-23	kein Nachweis
2009-08-22	kein Nachweis
2009-08-21	21.200,00
2009-08-20	21.340,00
2009-08-19	21.290,00
2009-08-18	21.390,00
2009-08-17	21.410,00
2009-08-16	kein Nachweis
2009-08-15	kein Nachweis
2009-08-14	21.555,00
2009-08-13	21.640,00
2009-08-12	21.465,00
2009-08-11	21.490,00
2009-08-10	21.620,00
2009-08-09	kein Nachweis
2009-08-08	kein Nachweis
2009-08-07	21.520,00
2009-08-06	21.470,00
2009-08-05	21.570,00
2009-08-04	21.310,00
2009-08-03	21.525,00
2009-08-02	kein Nachweis
2009-08-01	kein Nachweis
2009-07-31	21.360,00
2009-07-30	21.340,00
2009-07-29	21.315,00
2009-07-28	21.520,00
2009-07-27  21.570,00
2009-07-26	kein Nachweis
2009-07-25	kein Nachweis
2009-07-24	21.550,00
2009-07-23	21.585,00
2009-07-22	21.460,00
2009-07-21	21.450,00
2009-07-20	21.555,00
2009-07-19	kein Nachweis
2009-07-18	kein Nachweis
2009-07-17	21.330,00
2009-07-16	21.390,00
2009-07-15	21.380,00
2009-07-14	21.245,00
2009-07-13	21.010,00
2009-07-12	kein Nachweis
2009-07-11	kein Nachweis
2009-07-10	21.040,00
2009-07-09	21.050,00
2009-07-08	21.290,00
2009-07-07	21.300,00
2009-07-06	21.350,00
2009-07-05	kein Nachweis
2009-07-04	kein Nachweis
2009-07-03	21.450,00
2009-07-02	21.320,00
2009-07-01	21.310,00
2009-06-30	21.400,00
2009-06-29	21.560,00
2009-06-28	kein Nachweis
2009-06-27	kein Nachweis
2009-06-26	21.580,00
2009-06-25	21.550,00
2009-06-24	21.210,00
2009-06-23	21.250,00
2009-06-22	21.510,00
2009-06-21	kein Nachweis
2009-06-20	kein Nachweis
2009-06-19	21.607,00
2009-06-18	21.646,00
2009-06-17	21.585,00
2009-06-16	21.680,00
2009-06-15	21.675,00
2009-06-14	kein Nachweis
2009-06-13	kein Nachweis
2009-06-12	21.775,00
2009-06-11	kein Nachweis
2009-06-10	21.970,00
2009-06-09	22.010,00
2009-06-08	22.065,00
2009-06-07	kein Nachweis
2009-06-06	kein Nachweis
2009-06-05	22.150,00
2009-06-04	21.965,00
2009-06-03	22.150,00
2009-06-02	22.085,00
2009-06-01	kein Nachweis
2009-05-31	kein Nachweis
2009-05-30	kein Nachweis
2009-05-29	22.240,00
2009-05-28	22.070,00
2009-05-27	21.890,00
2009-05-26	21.890,00
2009-05-25	21.960,00
2009-05-24	kein Nachweis
2009-05-23	kein Nachweis
2009-05-22	22.008,00
2009-05-21	kein Nachweis
2009-05-20	21.925,00
2009-05-19	21.750,00
2009-05-18	22.185,00
2009-05-17	kein Nachweis
2009-05-16	kein Nachweis
2009-05-15	21.935,00
2009-05-14	21.900,00
2009-05-13	21.715,00
2009-05-12	21.650,00
2009-05-11	21.630,00
2009-05-10	kein Nachweis
2009-05-09	kein Nachweis
2009-05-08	21.995,00
2009-05-07	22.130,00
2009-05-06	21.870,00
2009-05-05	21.680,00
2009-05-04	21.640,00
2009-05-03	kein Nachweis
2009-05-02	kein Nachweis
2009-05-01	kein Nachweis
2009-04-30	21.560,00
2009-04-29	21.770,00
2009-04-28	22.200,00
2009-04-27	22.365,00
2009-04-26	kein Nachweis
2009-04-25	kein Nachweis
2009-04-24	22.125,00
2009-04-23	22.030,00
2009-04-22	22.040,00
2009-04-21	22.065,00
2009-04-20	21.600,00
2009-04-19	kein Nachweis
2009-04-18	kein Nachweis
2009-04-17	21.390,00
2009-04-16	21.720,00
2009-04-15	21.700,00
2009-04-14	21.660,00
2009-04-13	kein Nachweis
2009-04-12	kein Nachweis
2009-04-11	kein Nachweis
2009-04-10	kein Nachweis
2009-04-09	21.420,00
2009-04-08	21.555,00
2009-04-07	21.340,00
2009-04-06	20.900,00
2009-04-05	kein Nachweis
2009-04-04	kein Nachweis
2009-04-03	21.650,00
2009-04-02	22.020,00
2009-04-01	22.395,00
2009-03-31	22.190,00
2009-03-30	22.280,00
2009-03-29	kein Nachweis
2009-03-28	kein Nachweis
2009-03-27	22.315,00
2009-03-26	22.220,00
2009-03-25	21.920,00
2009-03-24	22.090,00
2009-03-23	22.465,00
2009-03-22	kein Nachweis
2009-03-21	kein Nachweis
2009-03-20	22.640,00
2009-03-19	22.290,00
2009-03-18	22.490,00
2009-03-17	22.740,00
2009-03-16	22.810,00
2009-03-15	kein Nachweis
2009-03-14	kein Nachweis
2009-03-13	23.160,00
2009-03-12	23.010,00
2009-03-11	22.730,00
2009-03-10	22.990,00
2009-03-09	23.970,00
2009-03-08	kein Nachweis
2009-03-07	kein Nachweis
2009-03-06	23.810,00
2009-03-05	23.490,00
2009-03-04	23.420,00
